"subj","item","trial","F","P","Q","lQ","lT","rt","speed"
"S08","CASE",98,"HF","rel","deg","deg","WD",474,2.109704641350211
"S08","SWIM",100,"LF","rel","clr","clr","NW",457,2.1881838074398248
"S08","WOOL",101,"LF","rel","clr","clr","WD",502,1.9920318725099602
"S08","BLACK",102,"HF","rel","clr","clr","WD",401,2.493765586034913
"S08","GARBAGE",103,"LF","unr","clr","clr","WD",416,2.4038461538461537
"S08","FRIEND",105,"HF","unr","deg","clr","NW",530,1.8867924528301887
"S08","SHORT",108,"HF","unr","deg","clr","NW",553,1.8083182640144666
"S08","RUBBER",110,"LF","rel","deg","clr","NW",616,1.6233766233766234
"S08","LONG",111,"HF","rel","clr","deg","WD",398,2.512562814070352
"S08","MATH",113,"LF","rel","deg","deg","NW",485,2.0618556701030926
"S08","FINGER",114,"HF","unr","deg","deg","WD",545,1.834862385321101
"S08","STOP",117,"HF","rel","clr","deg","NW",434,2.304147465437788
"S08","IDEA",118,"HF","rel","clr","clr","WD",960,1.0416666666666667
"S08","HELP",127,"HF","unr","deg","clr","NW",582,1.7182130584192439
"S08","MEAN",129,"HF","rel","clr","deg","NW",609,1.6420361247947455
"S08","KNOW",130,"HF","rel","deg","clr","WD",472,2.1186440677966103
"S08","CHEAP",135,"LF","rel","clr","deg","NW",642,1.557632398753894
"S08","PLANT",138,"HF","rel","clr","clr","NW",631,1.5847860538827259
"S08","BUNNY",140,"LF","rel","clr","deg","NW",609,1.6420361247947455
"S08","COLD",142,"HF","unr","deg","deg","NW",463,2.159827213822894
"S08","HANGER",146,"LF","unr","deg","deg","NW",550,1.8181818181818181
"S08","SODA",147,"LF","unr","clr","deg","WD",591,1.6920473773265652
"S08","WORD",150,"HF","rel","deg","clr","NW",831,1.203369434416366
"S08","THINK",151,"HF","rel","clr","deg","WD",429,2.331002331002331
"S08","SKIN",154,"LF","unr","deg","clr","NW",569,1.757469244288225
"S08","FROG",155,"LF","rel","clr","deg","WD",402,2.487562189054726
"S08","LOUD",156,"LF","unr","clr","clr","WD",465,2.150537634408602
"S08","PANTS",157,"LF","rel","clr","clr","WD",398,2.512562814070352
"S08","STUDY",158,"HF","unr","clr","clr","WD",349,2.865329512893983
"S08","UNCLE",160,"HF","unr","clr","deg","NW",392,2.5510204081632653
"S08","SCARE",161,"LF","unr","deg","clr","WD",535,1.8691588785046729
"S08","MELT",164,"LF","rel","deg","clr","NW",566,1.7667844522968197
"S08","GIVE",165,"HF","unr","deg","deg","WD",591,1.6920473773265652
"S08","MAIL",166,"LF","rel","clr","deg","WD",375,2.6666666666666665
"S08","FIGURE",168,"HF","unr","clr","clr","NW",432,2.314814814814815
"S08","CARE",169,"HF","unr","clr","clr","WD",446,2.242152466367713
"S08","BLUE",170,"HF","rel","deg","clr","WD",491,2.0366598778004072
"S08","JACKET",172,"LF","unr","clr","deg","NW",425,2.3529411764705883
"S08","HARD",176,"HF","rel","clr","clr","NW",454,2.202643171806167
"S08","SHIRT",177,"LF","rel","deg","clr","WD",547,1.8281535648994516
"S08","GRASS",178,"HF","unr","clr","deg","WD",508,1.968503937007874
"S08","SAND",181,"LF","unr","clr","clr","NW",437,2.288329519450801
"S08","VAMPIRE",185,"LF","unr","deg","deg","NW",536,1.8656716417910448
"S08","BANANA",186,"LF","rel","clr","deg","WD",482,2.074688796680498
"S08","GONE",192,"HF","rel","deg","clr","NW",501,1.996007984031936
"S08","WATER",198,"HF","unr","clr","clr","WD",516,1.937984496124031
"S08","HINT",200,"LF","unr","clr","clr","NW",533,1.876172607879925
"S08","BLADE",202,"LF","unr","deg","clr","NW",662,1.5105740181268883
"S08","PLANE",203,"HF","unr","deg","deg","WD",649,1.5408320493066257
"S08","MAKE",206,"HF","unr","deg","deg","NW",591,1.6920473773265652
"S08","PURPLE",207,"LF","rel","deg","deg","WD",549,1.8214936247723132
"S08","TRAIN",213,"LF","rel","clr","deg","NW",622,1.607717041800643
"S08","FRIGHT",216,"LF","rel","clr","clr","NW",412,2.4271844660194173
"S08","DARK",221,"HF","unr","deg","deg","NW",715,1.3986013986013985
"S08","TIGER",222,"LF","unr","deg","deg","WD",510,1.9607843137254901
"S08","MOUTH",225,"HF","unr","deg","deg","NW",411,2.4330900243309004
"S08","FRONT",227,"HF","unr","clr","deg","NW",479,2.0876826722338206
"S08","LEAD",228,"HF","rel","deg","clr","WD",507,1.9723865877712032
"S08","CORN",231,"LF","rel","clr","deg","NW",428,2.336448598130841
"S08","HUNGER",232,"LF","unr","clr","clr","WD",490,2.0408163265306123
"S08","MORE",233,"HF","unr","clr","clr","WD",487,2.0533880903490758
"S08","PULL",236,"HF","rel","deg","clr","NW",694,1.440922190201729
"S08","CHEAT",238,"LF","rel","deg","clr","NW",564,1.7730496453900708
"S08","EARTH",240,"HF","unr","deg","deg","NW",468,2.1367521367521367
"S08","SLIMY",242,"LF","unr","clr","clr","NW",604,1.6556291390728477
"S08","BOAT",243,"HF","unr","deg","clr","WD",547,1.8281535648994516
"S08","POINT",244,"HF","rel","deg","deg","WD",444,2.2522522522522523
"S08","ENGINE",246,"HF","rel","deg","clr","NW",646,1.5479876160990713
"S08","SORRY",247,"HF","rel","clr","deg","WD",442,2.262443438914027
"S08","GUILTY",252,"LF","unr","clr","clr","NW",524,1.9083969465648856
"S08","SCENT",253,"LF","rel","deg","clr","WD",471,2.1231422505307855
"S08","NAVY",257,"LF","unr","deg","clr","NW",500,2.0
"S08","ROUND",259,"LF","rel","clr","deg","NW",666,1.5015015015015014
"S08","DONE",262,"HF","unr","clr","deg","NW",493,2.028397565922921
"S08","CENTER",268,"HF","rel","deg","deg","NW",561,1.7825311942959001
"S08","ANGER",271,"LF","rel","clr","clr","NW",630,1.5873015873015872
"S08","CHANGE",273,"HF","rel","deg","clr","NW",528,1.893939393939394
"S08","KING",276,"LF","unr","deg","deg","NW",1333,0.7501875468867217
"S08","BREAK",278,"LF","rel","deg","deg","NW",510,1.9607843137254901
"S08","HOSTAGE",280,"LF","unr","deg","clr","NW",714,1.4005602240896358
"S08","PICK",281,"HF","unr","clr","deg","WD",397,2.5188916876574305
"S08","SOUR",282,"LF","unr","clr","clr","WD",411,2.4330900243309004
"S08","NUMBER",285,"HF","rel","clr","deg","NW",439,2.277904328018223
"S08","OPEN",287,"HF","unr","clr","clr","NW",301,3.3222591362126246
"S08","MORNING",295,"HF","unr","deg","deg","NW",566,1.7667844522968197
"S08","SCHOOL",299,"HF","rel","deg","deg","NW",471,2.1231422505307855
"S08","DONKEY",300,"LF","rel","clr","deg","WD",563,1.7761989342806395
"S08","SECOND",304,"HF","unr","clr","deg","NW",524,1.9083969465648856
"S08","BIRD",305,"LF","rel","clr","clr","WD",741,1.349527665317139
"S08","OYSTER",307,"LF","rel","deg","clr","NW",668,1.4970059880239521
"S08","LIKE",309,"HF","unr","clr","clr","WD",722,1.3850415512465375
"S08","FATHER",310,"HF","unr","clr","clr","WD",420,2.380952380952381
"S08","FLOWER",311,"LF","rel","deg","clr","WD",499,2.004008016032064
"S08","PARTY",312,"HF","rel","deg","deg","WD",478,2.092050209205021
"S08","SIGN",317,"LF","unr","clr","deg","NW",577,1.733102253032929
"S08","SHOWER",318,"LF","rel","clr","clr","WD",505,1.9801980198019802
"S08","LIFE",321,"HF","rel","deg","clr","NW",612,1.6339869281045751
"S08","FISH",324,"LF","unr","deg","deg","NW",875,1.1428571428571428
"S08","TUNE",329,"LF","rel","deg","clr","NW",630,1.5873015873015872
"S08","NICE",330,"LF","unr","clr","deg","WD",476,2.100840336134454
"S08","READ",331,"HF","unr","deg","clr","WD",440,2.272727272727273
"S08","TEAR",335,"LF","unr","clr","deg","NW",511,1.9569471624266144
"S08","SPOT",338,"HF","unr","clr","clr","WD",443,2.2573363431151243
"S08","SAME",339,"HF","rel","deg","clr","WD",456,2.192982456140351
"S08","FLOOR",341,"HF","unr","clr","clr","NW",444,2.2522522522522523
"S08","PRESENT",343,"HF","rel","deg","deg","NW",548,1.8248175182481752
"S08","REEF",345,"LF","rel","clr","deg","NW",438,2.2831050228310503
"S08","CARDS",347,"LF","rel","deg","deg","NW",606,1.6501650165016502
"S08","BRAVE",348,"LF","unr","clr","deg","WD",644,1.5527950310559007
"S08","SNAKE",349,"LF","unr","deg","clr","WD",474,2.109704641350211
"S08","GLUE",352,"LF","unr","clr","clr","NW",649,1.5408320493066257
"S08","BELL",353,"LF","rel","deg","clr","WD",687,1.455604075691412
"S08","JUICE",354,"LF","rel","deg","deg","WD",483,2.070393374741201
"S08","PEOPLE",355,"HF","rel","clr","deg","WD",447,2.237136465324385
"S08","CITY",358,"HF","unr","clr","clr","NW",438,2.2831050228310503
"S08","PLAY",360,"HF","rel","deg","clr","NW",489,2.044989775051125
"S08","JUMP",361,"LF","unr","clr","deg","WD",437,2.288329519450801
"S08","POLICE",363,"HF","rel","clr","deg","NW",430,2.3255813953488373
"S08","PINT",364,"LF","rel","deg","clr","WD",508,1.968503937007874
"S08","YEAR",365,"HF","unr","deg","deg","WD",550,1.8181818181818181
"S08","HABIT",366,"LF","rel","deg","deg","WD",463,2.159827213822894
"S08","FORGIVE",369,"LF","unr","clr","clr","NW",469,2.1321961620469083
"S08","SHINE",370,"LF","rel","deg","clr","WD",514,1.9455252918287937
"S08","PEACE",371,"HF","unr","clr","deg","WD",509,1.9646365422396856
"S08","WRITE",372,"HF","unr","clr","clr","WD",407,2.457002457002457
"S08","STAMP",373,"LF","unr","deg","clr","WD",469,2.1321961620469083
"S08","SPORT",374,"LF","unr","clr","deg","WD",482,2.074688796680498
"S08","HANDS",376,"HF","unr","deg","clr","NW",576,1.7361111111111112
"S08","HAVE",379,"HF","rel","clr","clr","NW",558,1.7921146953405018
"S08","SEAFOOD",380,"LF","unr","deg","clr","WD",518,1.9305019305019304
"S08","ARMY",382,"HF","unr","deg","clr","NW",588,1.7006802721088434
"S08","BALLOON",384,"LF","rel","deg","deg","NW",484,2.0661157024793386
"S08","NIGHT",388,"HF","unr","deg","deg","NW",568,1.7605633802816902
"S08","HEAT",389,"LF","rel","deg","deg","WD",848,1.179245283018868
"S08","DUMB",390,"LF","unr","deg","deg","WD",461,2.1691973969631237
"S08","UGLY",391,"LF","unr","deg","deg","WD",506,1.976284584980237
"S08","BEST",392,"HF","unr","clr","deg","WD",517,1.9342359767891684
"S08","DUCK",394,"LF","unr","clr","deg","NW",616,1.6233766233766234
"S08","TELL",396,"HF","unr","clr","deg","NW",468,2.1367521367521367
"S08","FACE",397,"HF","rel","clr","clr","WD",432,2.314814814814815
"S08","VEIN",398,"LF","unr","clr","clr","WD",574,1.7421602787456445
"S08","DEFEND",400,"LF","unr","deg","deg","NW",608,1.644736842105263
"S08","PUPPY",403,"LF","rel","deg","deg","NW",586,1.7064846416382253
"S08","WHEN",404,"HF","rel","deg","deg","WD",546,1.8315018315018314
"S08","ORANGE",409,"LF","rel","deg","clr","NW",487,2.0533880903490758
"S08","PUSH",411,"LF","rel","deg","clr","NW",476,2.100840336134454
"S08","STORM",413,"LF","rel","clr","clr","NW",492,2.032520325203252
"S08","FIELD",416,"HF","unr","clr","deg","NW",544,1.838235294117647
"S08","HOTEL",418,"HF","rel","clr","clr","NW",449,2.2271714922048997
"S08","ROCKET",420,"LF","rel","deg","clr","NW",491,2.0366598778004072
"S08","NURSE",422,"LF","rel","clr","deg","NW",507,1.9723865877712032
"S08","ANSWER",426,"HF","unr","deg","clr","NW",677,1.4771048744460857
"S08","COUNTRY",432,"HF","unr","clr","clr","NW",498,2.0080321285140563
"S08","SOUND",440,"HF","rel","clr","deg","NW",546,1.8315018315018314
"S08","EAGLE",441,"LF","rel","clr","clr","WD",411,2.4330900243309004
"S08","BREATH",445,"HF","rel","deg","clr","NW",535,1.8691588785046729
"S08","MOUSE",448,"LF","unr","clr","deg","NW",524,1.9083969465648856
"S08","DESTROY",454,"HF","rel","deg","deg","NW",636,1.5723270440251573
"S08","WINE",457,"HF","rel","clr","clr","NW",598,1.6722408026755853
"S08","REASON",458,"HF","rel","deg","clr","WD",621,1.6103059581320451
"S08","BOARD",461,"HF","unr","deg","deg","NW",495,2.0202020202020203
"S08","RIGHT",462,"HF","rel","deg","deg","WD",602,1.6611295681063123
"S08","GOAL",465,"LF","unr","clr","deg","NW",514,1.9455252918287937
"S08","TAKE",466,"HF","rel","deg","clr","WD",540,1.8518518518518519
"S08","HAND",468,"HF","rel","deg","clr","NW",446,2.242152466367713
"S08","FINAL",469,"HF","unr","clr","deg","WD",539,1.8552875695732838
"S08","FRUIT",471,"LF","unr","deg","deg","NW",445,2.247191011235955
"S08","SOCCER",474,"LF","unr","deg","deg","NW",605,1.6528925619834711
"S08","HIDE",475,"LF","rel","deg","deg","WD",420,2.380952380952381
"S08","BREAD",476,"LF","unr","deg","deg","WD",467,2.1413276231263385
"S08","HEART",478,"HF","unr","deg","deg","NW",470,2.127659574468085
"S08","FIRE",479,"HF","rel","clr","deg","WD",579,1.7271157167530224
"S09","SPORT",2,"LF","rel","clr","clr","NW",468,2.1367521367521367
"S09","SHORT",5,"HF","unr","deg","deg","NW",573,1.7452006980802792
"S09","MANY",6,"HF","rel","deg","deg","WD",614,1.6286644951140066
"S09","ENGINE",7,"HF","unr","clr","deg","WD",573,1.7452006980802792
"S09","BATH",11,"LF","rel","deg","deg","NW",794,1.2594458438287153
"S09","NIGHT",12,"HF","unr","deg","deg","WD",666,1.5015015015015014
"S09","ALONE",14,"HF","unr","deg","clr","NW",465,2.150537634408602
"S09","MIND",15,"HF","unr","deg","deg","WD",638,1.567398119122257
"S09","SPOT",16,"HF","rel","clr","deg","WD",563,1.7761989342806395
"S09","MORNING",18,"HF","unr","deg","deg","NW",769,1.3003901170351104
"S09","UNCLE",19,"HF","rel","clr","deg","WD",898,1.1135857461024499
"S09","DONKEY",22,"LF","rel","deg","deg","NW",766,1.3054830287206267
"S09","NUMBER",24,"HF","rel","deg","clr","NW",528,1.893939393939394
"S09","POLE",26,"LF","unr","deg","deg","NW",687,1.455604075691412
"S09","HAIR",31,"HF","rel","deg","deg","NW",534,1.8726591760299625
"S09","WEST",32,"HF","unr","deg","deg","WD",721,1.3869625520110958
"S09","WHITE",35,"HF","rel","deg","deg","NW",501,1.996007984031936
"S09","LIKE",37,"HF","rel","clr","clr","WD",474,2.109704641350211
"S09","HUNGER",38,"LF","rel","clr","clr","WD",550,1.8181818181818181
"S09","MAIL",40,"LF","rel","deg","deg","NW",564,1.7730496453900708
"S09","BREATH",41,"HF","unr","clr","deg","WD",477,2.0964360587002098
"S09","CASE",42,"HF","unr","clr","clr","WD",457,2.1881838074398248
"S09","PRESENT",43,"HF","unr","clr","clr","WD",628,1.5923566878980893
"S09","HEART",44,"HF","unr","deg","clr","WD",555,1.8018018018018018
"S09","WALK",51,"HF","unr","deg","clr","NW",645,1.550387596899225
"S09","READ",52,"HF","unr","deg","deg","WD",506,1.976284584980237
"S09","LOCK",54,"LF","unr","deg","clr","NW",560,1.7857142857142858
"S09","INSECT",59,"LF","unr","clr","clr","NW",516,1.937984496124031
"S09","SKIN",63,"LF","unr","deg","deg","NW",689,1.4513788098693758
"S09","SIGN",65,"LF","rel","clr","deg","NW",684,1.4619883040935673
"S09","STICK",66,"LF","rel","deg","clr","WD",640,1.5625
"S09","ORANGE",76,"LF","unr","clr","clr","NW",466,2.1459227467811157
"S09","OPEN",78,"HF","rel","clr","clr","NW",631,1.5847860538827259
"S09","PEACE",79,"HF","rel","clr","clr","WD",525,1.9047619047619047
"S09","TEAR",81,"LF","rel","clr","deg","NW",632,1.5822784810126582
"S09","SOUR",82,"LF","rel","clr","clr","WD",526,1.9011406844106464
"S09","RULER",83,"LF","unr","clr","clr","WD",537,1.86219739292365
"S09","SHINE",86,"LF","unr","clr","deg","WD",456,2.192982456140351
"S09","WEIGHT",87,"LF","unr","deg","clr","WD",630,1.5873015873015872
"S09","MOUSE",88,"LF","rel","clr","deg","WD",715,1.3986013986013985
"S09","SCHOOL",90,"HF","unr","clr","deg","NW",577,1.733102253032929
"S09","TAKE",92,"HF","unr","clr","clr","NW",799,1.2515644555694618
"S09","CIRCLE",99,"HF","unr","clr","clr","NW",472,2.1186440677966103
"S09","FIELD",102,"HF","rel","clr","deg","NW",635,1.5748031496062993
"S09","GUILT",106,"LF","rel","clr","clr","NW",660,1.5151515151515151
"S09","SHOWER",107,"LF","rel","deg","clr","WD",616,1.6233766233766234
"S09","SOUND",108,"HF","rel","deg","deg","WD",639,1.5649452269170578
"S09","PUSH",109,"LF","unr","clr","deg","WD",549,1.8214936247723132
"S09","HOME",110,"HF","rel","deg","clr","WD",541,1.8484288354898337
"S09","BEAR",111,"HF","unr","deg","deg","WD",775,1.2903225806451613
"S09","FISH",116,"LF","unr","deg","clr","NW",736,1.358695652173913
"S09","LOUD",117,"LF","rel","clr","deg","WD",625,1.6
"S09","BREAK",118,"LF","unr","clr","clr","WD",487,2.0533880903490758
"S09","GRASS",119,"HF","rel","clr","clr","WD",435,2.2988505747126435
"S09","MELT",120,"LF","unr","clr","clr","WD",465,2.150537634408602
"S09","CITY",121,"HF","rel","clr","clr","WD",428,2.336448598130841
"S09","PLAY",123,"HF","unr","clr","clr","NW",508,1.968503937007874
"S09","BLUE",124,"HF","unr","clr","clr","WD",471,2.1231422505307855
"S09","JACKET",128,"LF","rel","clr","deg","NW",590,1.694915254237288
"S09","ANGER",130,"LF","rel","deg","deg","NW",540,1.8518518518518519
"S09","GARBAGE",131,"LF","rel","clr","deg","WD",565,1.7699115044247788
"S09","HORSE",134,"HF","unr","clr","deg","NW",612,1.6339869281045751
"S09","LIGHT",135,"HF","rel","clr","clr","WD",443,2.2573363431151243
"S09","GAMBLE",136,"HF","unr","clr","clr","WD",503,1.9880715705765408
"S09","HOSTAGE",137,"LF","unr","deg","clr","WD",594,1.6835016835016836
"S09","COAT",142,"LF","rel","deg","deg","NW",496,2.0161290322580645
"S09","SHIRT",143,"LF","unr","clr","deg","WD",507,1.9723865877712032
"S09","PICK",147,"HF","rel","clr","clr","NW",423,2.3640661938534278
"S09","KNOW",150,"HF","unr","clr","deg","NW",727,1.375515818431912
"S09","THREAD",151,"LF","unr","deg","clr","WD",505,1.9801980198019802
"S09","CHEAT",152,"LF","unr","clr","deg","WD",437,2.288329519450801
"S09","CARDS",164,"LF","unr","clr","deg","NW",741,1.349527665317139
"S09","CARE",165,"HF","rel","clr","clr","WD",551,1.8148820326678765
"S09","JAIL",166,"LF","rel","clr","clr","WD",495,2.0202020202020203
"S09","TIGER",168,"LF","unr","deg","deg","NW",589,1.697792869269949
"S09","THINK",171,"HF","rel","deg","clr","NW",477,2.0964360587002098
"S09","KING",172,"LF","unr","deg","deg","WD",778,1.2853470437017995
"S09","SHOW",173,"HF","unr","deg","deg","WD",602,1.6611295681063123
"S09","DARK",176,"HF","unr","deg","deg","NW",628,1.5923566878980893
"S09","JUMP",177,"LF","rel","clr","deg","WD",649,1.5408320493066257
"S09","STONE",178,"HF","rel","clr","clr","WD",479,2.0876826722338206
"S09","BUNNY",179,"LF","rel","deg","clr","WD",508,1.968503937007874
"S09","BIRD",182,"LF","rel","deg","deg","NW",861,1.1614401858304297
"S09","BALLOON",183,"LF","unr","clr","deg","WD",602,1.6611295681063123
"S09","FATHER",187,"HF","rel","clr","clr","NW",530,1.8867924528301887
"S09","SCARE",189,"LF","unr","deg","clr","NW",746,1.3404825737265416
"S09","BOARD",191,"HF","unr","deg","clr","WD",559,1.7889087656529516
"S09","SODA",192,"LF","rel","clr","deg","WD",471,2.1231422505307855
"S09","FRONT",194,"HF","rel","clr","clr","NW",657,1.5220700152207
"S09","SECOND",195,"HF","rel","clr","clr","WD",437,2.288329519450801
"S09","FEMALE",197,"HF","rel","deg","deg","NW",503,1.9880715705765408
"S09","PRIEST",199,"LF","rel","deg","clr","NW",745,1.342281879194631
"S09","FORGIVE",201,"LF","rel","clr","clr","WD",537,1.86219739292365
"S09","ACHE",205,"LF","unr","deg","clr","NW",700,1.4285714285714286
"S09","HANDS",207,"HF","unr","deg","clr","NW",790,1.2658227848101267
"S09","WASH",208,"LF","rel","clr","deg","WD",501,1.996007984031936
"S09","PINT",213,"LF","unr","clr","deg","NW",1070,0.9345794392523364
"S09","WORD",215,"HF","unr","clr","deg","NW",943,1.0604453870625663
"S09","FIGHT",216,"HF","rel","clr","clr","WD",520,1.9230769230769231
"S09","SEAFOOD",217,"LF","unr","deg","clr","WD",674,1.4836795252225519
"S09","TUNE",218,"LF","unr","clr","deg","WD",566,1.7667844522968197
"S09","REASON",219,"HF","unr","clr","clr","WD",527,1.8975332068311195
"S09","IDEA",221,"HF","rel","deg","clr","NW",673,1.485884101040119
"S09","HELP",226,"HF","unr","deg","deg","NW",876,1.1415525114155252
"S09","PLANE",233,"HF","unr","deg","deg","WD",565,1.7699115044247788
"S09","COLD",235,"HF","unr","deg","deg","NW",708,1.4124293785310735
"S09","BREAD",236,"LF","unr","deg","deg","WD",520,1.9230769230769231
"S09","EARTH",239,"HF","unr","deg","deg","NW",668,1.4970059880239521
"S09","SMOKE",240,"HF","unr","clr","deg","WD",625,1.6
"S09","COUNTRY",243,"HF","rel","clr","deg","NW",437,2.288329519450801
"S09","WRITE",244,"HF","rel","clr","clr","WD",530,1.8867924528301887
"S09","WOOL",247,"LF","rel","deg","clr","NW",655,1.5267175572519085
"S09","COST",251,"HF","rel","clr","deg","NW",455,2.197802197802198
"S09","MONKEY",252,"LF","rel","clr","clr","WD",724,1.3812154696132597
"S09","SHOE",255,"LF","rel","clr","deg","NW",573,1.7452006980802792
"S09","HARD",257,"HF","rel","deg","clr","NW",507,1.9723865877712032
"S09","OVEN",258,"LF","rel","deg","deg","WD",613,1.6313213703099512
"S09","MOUTH",260,"HF","unr","deg","clr","NW",596,1.6778523489932886
"S09","WHEN",261,"HF","unr","clr","deg","WD",539,1.8552875695732838
"S09","COWBOY",264,"LF","unr","deg","deg","NW",684,1.4619883040935673
"S09","TELL",268,"HF","rel","clr","clr","NW",960,1.0416666666666667
"S09","EGGS",271,"LF","rel","deg","deg","NW",700,1.4285714285714286
"S09","SOCCER",274,"LF","unr","deg","clr","NW",704,1.4204545454545454
"S09","TIRED",275,"HF","unr","deg","deg","WD",547,1.8281535648994516
"S09","STAMP",276,"LF","unr","deg","deg","WD",557,1.7953321364452424
"S09","SEAT",278,"HF","rel","deg","clr","NW",443,2.2573363431151243
"S09","SAND",282,"LF","rel","clr","deg","NW",461,2.1691973969631237
"S09","FIGURE",283,"HF","rel","clr","clr","WD",553,1.8083182640144666
"S09","NICE",285,"LF","rel","clr","deg","NW",462,2.1645021645021645
"S09","FIRE",287,"HF","rel","deg","deg","NW",619,1.615508885298869
"S09","GUILTY",288,"LF","rel","clr","deg","WD",514,1.9455252918287937
"S09","STORM",292,"LF","rel","deg","clr","NW",557,1.7953321364452424
"S09","CRASH",293,"LF","unr","clr","deg","WD",485,2.0618556701030926
"S09","STOP",295,"HF","rel","deg","clr","NW",585,1.7094017094017093
"S09","TRAIN",299,"LF","rel","deg","deg","NW",663,1.5082956259426847
"S09","RIDE",300,"HF","rel","clr","deg","WD",524,1.9083969465648856
"S09","SAME",301,"HF","unr","clr","clr","WD",567,1.763668430335097
"S09","RIGHT",304,"HF","unr","clr","clr","NW",580,1.7241379310344827
"S09","FINAL",306,"HF","rel","clr","clr","NW",751,1.3315579227696406
"S09","CORN",307,"LF","rel","deg","clr","WD",608,1.644736842105263
"S09","DESTROY",309,"HF","unr","clr","deg","NW",588,1.7006802721088434
"S09","LEAD",311,"HF","unr","clr","deg","WD",565,1.7699115044247788
"S09","BANANA",312,"LF","rel","deg","clr","WD",717,1.394700139470014
"S09","SORRY",313,"HF","rel","deg","deg","WD",495,2.0202020202020203
"S09","NERVOUS",314,"LF","unr","clr","deg","WD",554,1.8050541516245486
"S09","BACK",315,"HF","unr","clr","clr","WD",564,1.7730496453900708
"S09","DUMB",316,"LF","unr","deg","clr","WD",557,1.7953321364452424
"S09","DOOR",317,"HF","rel","deg","deg","WD",549,1.8214936247723132
"S09","HAVE",322,"HF","rel","deg","clr","NW",714,1.4005602240896358
"S09","HEAT",323,"LF","unr","clr","deg","WD",765,1.3071895424836601
"S09","HABIT",324,"LF","unr","clr","clr","WD",542,1.845018450184502
"S09","FLOOR",326,"HF","rel","clr","clr","NW",706,1.4164305949008498
"S09","CAKE",329,"LF","unr","deg","clr","NW",664,1.5060240963855422
"S09","STRONG",334,"HF","rel","deg","deg","NW",636,1.5723270440251573
"S09","HOTEL",335,"HF","rel","deg","deg","WD",627,1.594896331738437
"S09","NAVY",340,"LF","unr","deg","clr","NW",669,1.4947683109118086
"S09","FROG",343,"LF","rel","deg","clr","NW",538,1.858736059479554
"S09","HURT",347,"LF","rel","deg","clr","NW",585,1.7094017094017093
"S09","YEAR",348,"HF","unr","deg","deg","WD",721,1.3869625520110958
"S09","WEIRD",349,"LF","rel","clr","deg","WD",500,2.0
"S09","CANDY",352,"LF","rel","clr","deg","WD",530,1.8867924528301887
"S09","PARTY",353,"HF","unr","clr","clr","WD",507,1.9723865877712032
"S09","OCEAN",354,"LF","unr","deg","clr","WD",742,1.3477088948787062
"S09","FLOWER",356,"LF","unr","clr","deg","NW",555,1.8018018018018018
"S09","POINT",359,"HF","unr","clr","deg","NW",596,1.6778523489932886
"S09","LIQUID",360,"HF","rel","clr","clr","WD",635,1.5748031496062993
"S09","STICKY",363,"LF","rel","deg","clr","NW",580,1.7241379310344827
"S09","PLANT",367,"HF","rel","deg","clr","NW",710,1.408450704225352
"S09","PANTS",368,"LF","rel","deg","deg","WD",535,1.8691588785046729
"S09","PURPLE",370,"LF","unr","clr","deg","NW",635,1.5748031496062993
"S09","ROUND",374,"LF","rel","deg","clr","NW",467,2.1413276231263385
"S09","SNAKE",375,"LF","unr","deg","deg","WD",975,1.0256410256410255
"S09","WATER",376,"HF","rel","clr","deg","WD",471,2.1231422505307855
"S09","HOLD",379,"HF","rel","deg","deg","NW",503,1.9880715705765408
"S09","NURSE",381,"LF","rel","deg","deg","NW",531,1.8832391713747645
"S09","FINGER",382,"HF","unr","deg","deg","WD",814,1.2285012285012284
"S09","MEAN",383,"HF","rel","deg","deg","WD",539,1.8552875695732838
"S09","SILVER",384,"LF","rel","deg","deg","WD",565,1.7699115044247788
"S09","HANGER",388,"LF","unr","deg","clr","NW",639,1.5649452269170578
"S09","GIRL",389,"HF","unr","deg","deg","WD",597,1.6750418760469012
"S09","HEAD",390,"HF","unr","clr","deg","WD",444,2.2522522522522523
"S09","HIDE",391,"LF","unr","clr","clr","WD",408,2.450980392156863
"S09","HINT",392,"LF","rel","clr","clr","WD",520,1.9230769230769231
"S09","MORE",394,"HF","rel","clr","clr","NW",619,1.615508885298869
"S09","POLICE",395,"HF","rel","deg","clr","WD",497,2.0120724346076457
"S09","GIVE",397,"HF","unr","deg","deg","NW",558,1.7921146953405018
"S09","ROCKET",398,"LF","unr","clr","deg","WD",503,1.9880715705765408
"S09","BRAVE",401,"LF","rel","clr","clr","NW",541,1.8484288354898337
"S09","BLADE",402,"LF","unr","deg","clr","WD",774,1.2919896640826873
"S09","FRIEND",403,"HF","unr","deg","deg","WD",455,2.197802197802198
"S09","CHANGE",404,"HF","unr","clr","deg","WD",484,2.0661157024793386
"S09","UGLY",405,"LF","unr","deg","clr","WD",656,1.524390243902439
"S09","GLUE",406,"LF","rel","clr","deg","WD",676,1.4792899408284024
"S09","PULL",411,"HF","unr","clr","deg","NW",592,1.6891891891891893
"S09","SLIMY",412,"LF","rel","clr","clr","WD",807,1.2391573729863692
"S09","STREET",415,"HF","unr","deg","clr","NW",481,2.079002079002079
"S09","THIEF",420,"LF","unr","deg","clr","NW",530,1.8867924528301887
"S09","JUICE",426,"LF","unr","clr","clr","NW",768,1.3020833333333333
